Subsystem,Section,Subteam,Project,Part,Mass Margin (%),Component Mass % Relative to Vehicle,Component Mass % Without PV,Mass Allotted (lbs),Minimum Mass Allotted (lbs),Maximum Mass Allotted (lbs),kg,Mass Measured (lbs),Mass Measured (kg),Mass Allotted (kg),Minimum Mass Allotted (kg),Maximum Mass Allotted (kg),Notes,length,outerDiameter,startDiameter,endDiameter,Tip Position x (m),Tip Position y (m),Tip Position z (m),CGx (m),CGy (m),CGz (m),Rocket CGz (m),Radial CG (m),Theta (degrees),Length (in),Diam/Width (in),Tip Position (in),CGx (in),CGy (in),CGz (in),CGz (in),Radial CG (in),MOIx (kg m^2),MOIy (kg m^2),MOIz (kg m^2),Shape,surfaceRoughness,class,Wet Mass Allocation,Dry Mass Allocation
,,,,,,0.00%,0.00%,,0.0000,0.0000,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lower,Total,75.38,,,0.00%,0.00%,,0.0000,0.0000,0.0000,,0.00,0.00,0,0,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
,,Airframe,Total,,,0.00%,0.00%,,0.0000,0.0000,0.0000,,0,0,0,0,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
,,,Plumbing Body Tube,Total,2.00,0.00%,0.00%,,0.0000,0.0000,0.0000,,0,0,0,0,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
,,,,Estimate,30.00%,0.00%,0.00%,2.0000,1.4000,2.6000,0.9072,,0,0.90718474,0.635029318,1.179340162,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
,,,,,,0.00%,0.00%,,0.0000,0.0000,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Propulsion,Total,75.38,,0.00%,0.00%,,0,0,0.0000,,0,0,0,0,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
,,,Pressure Vessel,Total,62.54,0.00%,0.00%,,0.0000,0.0000,,,0,0,0,0,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
,,,,Pressure Vessel,,27.25%,34.08%,62.5400,62.5400,62.5400,28.3676,31.9662,14.49964013,28.36766682,28.36766682,28.36766682,pressureVessel_mid,1.8288,0.143002,,,0,0,1.7770602,0,0,-0.96,,,,,,,,,,,,0.06666789,6.26300647,6.26300647,Cylindrical,60,None,16.24%,19.26%
,,,,Upper End Cap,0.50%,1.30%,1.62%,1.5200,1.5124,1.5276,0.6895,1.5200,0.6894604024,0.6894604024,0.6860131004,0.6929077044,endCap_PressureVessel_mid,0.02667,0.13589,,,0,0,1.8458942,0,0,-0.02,0.02,0,0,1.05,5.35,0,0,0,-0.7874015748,0.7874015748,0,0.00095853,0.00095853,0.00184527,Cylindrical,60,Mass,0.77%,0.92%
,,,,Lower End Cap,0.50%,1.30%,1.62%,1.5200,1.5124,1.5276,0.6895,1.5200,0.6894604024,0.6894604024,0.6860131004,0.6929077044,endCap_PressureVessel_mid,0.02667,0.13589,,,0,0,3.6979098,0,0,-0.02,0.02,0,0,1.05,5.35,0,0,0,-0.7874015748,0.7874015748,0,0.00095853,0.00095853,0.00184527,Cylindrical,60,Mass,0.77%,0.92%
,,,,Upper Casing,0.50%,1.65%,2.07%,1.6200,1.6119,1.6281,0.7348,1.9374,0.8787900527,0.7348196394,0.7311455412,0.7384937376,upperCasing_pressureVessel,2.74,,1.6002,0.136398,0,0,1.7770602,0,0,-0.03,0.03,-0.03,0.03,-0.06,0.09,-0.12,0.15,-0.21,0.3,-0.42,0.57,0.00216639,0.00216639,0.00362728,Cylindrical,60,Bodytube,0.98%,1.17%
,,,,Lower Casing,0.50%,2.34%,2.93%,2.6600,2.6467,2.6733,1.2066,2.7472,1.246117427,1.206555704,1.200522926,1.212588483,lowerCasing_pressureVessel_mid,2.905,,0.136271,0.1644396,0,0,3.6746942,0,0,-0.03,0.03,-0.03,0.03,-0.06,0.09,-0.12,0.15,-0.21,0.3,-0.42,0.57,0.00357708,0.00357708,0.00617977,Cylindrical,60,Bodytube,1.40%,1.66%
